playerID,name,year,loc,numgames,totalwinnings,state,studentflag,lat,lon
1687,Denise Hay,2006,"Crystal Lake, Illinois",1,5200,illinois,,42.2411344,-88.3161965
1688,Chuck Moul,1998,"Chicago, Illinois",1,3600,illinois,,41.8755546,-87.6244212
7280,Cindy Peterson,2011,"Geneva, Illinois",1,0,illinois,,41.8875281,-88.3053525
4239,Steven Silver,2000,"Northbrook, Illinois",3,22200,illinois,,42.1296875,-87.830542
4236,Harry Haghanegi,2007,"Chicago, Illinois",1,15600,illinois,TRUE,41.8755546,-87.6244212
6934,Michael Muller,2010,"Springfield, Illinois",1,18205,illinois,,39.7989763,-89.6443688
8126,Ana Peso,2012,"Wheeling, Illinois",1,5400,illinois,,42.125144,-87.92930515
8122,Sandip Amin,2012,"Madison, Illinois",1,-400,illinois,,38.811063,-89.9017112
7299,Andrew Fuller,2011,"Elburn, Illinois",1,14600,illinois,,41.8922499,-88.4723014
7929,Dan Burke,2012,"Chicago, Illinois",2,53596,illinois,,41.8755546,-87.6244212
3439,Frank Firke,2007,"Chicago, Illinois",2,35000,illinois,TRUE,41.8755546,-87.6244212
878,Brendie Vance,1994,"Chicago, Illinois",1,1900,illinois,,41.8755546,-87.6244212
4841,Wendi Harrell,1999,"Carthage, Illinois",1,3200,illinois,,40.416433,-91.1362537
4843,Joe Padavic,1999,"Roselle, Illinois",3,30900,illinois,,41.9847505,-88.0797933
5203,Nancy Jasinski,2002,"Posen, Illinois",1,13599,illinois,,41.6317008,-87.681437
1325,Kevin Jack,1997,"Chicago, Illinois",1,10399,illinois,,41.8755546,-87.6244212
7733,Melanie Spratford,2012,"Chicago, Illinois",2,38402,illinois,,41.8755546,-87.6244212
8358,Christina Rodriguez,2013,"Carterville, Illinois",1,3500,illinois,,37.7597872,-89.0774278
4065,Brian Carlson,2000,"Chicago, Illinois",1,3398,illinois,,41.8755546,-87.6244212
5780,Kali Klena,2002,"Chicago, Illinois",1,2,illinois,,41.8755546,-87.6244212
950,Avrom Simon,1989,"Chicago, Illinois",1,1599,illinois,,41.8755546,-87.6244212
952,Mary Barry,1989,"Kankakee, Illinois",1,100,illinois,,41.1200325,-87.8611531
6330,Chris Serb,2004,"Chicago, Illinois",1,8099,illinois,,41.8755546,-87.6244212
7125,Corey York,2010,"East Peoria, Illinois",1,1,illinois,,40.666149,-89.5800978
2820,Scott Turow,2006,"Chicago, Illinois",1,14400,illinois,,41.8755546,-87.6244212
1933,Dave Argentar,1998,"Chicago, Illinois",2,32398,illinois,,41.8755546,-87.6244212
5575,Charlie Carbery,2008,"Oak Park, Illinois",1,0,illinois,TRUE,41.8850317,-87.7845025
5129,Aaron Klein,1995,"Des Plaines, Illinois",1,0,illinois,TRUE,42.0415823,-87.8873916
333,Lance Johnson,1998,"Champaign, Illinois",8,84792,illinois,,40.1164205,-88.2433829
9112,Sami Siegelbaum,2014,"Chicago, Illinois",1,1100,illinois,,41.8755546,-87.6244212
8026,Tom Conn,2012,"Saint Anne, Illinois",1,4000,illinois,,41.0251494,-87.7132903
1936,Eugene Finerman,1987,"Evanston, Illinois",8,31200,illinois,,42.0447388,-87.6930459
1345,Fred Walker,1997,"Oak Park, Illinois",1,7800,illinois,,41.8850317,-87.7845025
8118,Tom McGrath,2012,"Chicago, Illinois",1,20791,illinois,,41.8755546,-87.6244212
7716,Marion Baumgarten,2012,"River Forest, Illinois",1,1,illinois,,41.8978091,-87.8139483
3973,Greg Peterson,2007,"Park Ridge, Illinois",4,88888,illinois,TRUE,42.0111412,-87.8406192
2464,Lorin Burte,1998,"Homewood, Illinois",1,8100,illinois,,41.5572567,-87.6656015
6317,Cathy Strybel,2003,"Orland Park, Illinois",1,-200,illinois,,41.6303103,-87.8539425
3367,Gail Polzin,2002,"Buffalo Grove, Illinois",1,400,illinois,,42.1675825,-87.95564011
4808,Kathy Grogman,1999,"Mascoutah, Illinois",2,13600,illinois,,38.490327,-89.793154
6944,John Cunningham,2010,"Chicago, Illinois",1,8800,illinois,,41.8755546,-87.6244212
2447,Karen Burke,1998,"Naperville, Illinois",1,9400,illinois,,41.7729107,-88.147867
4979,Dmitry Spivak,1999,"Glenview, Illinois",2,9200,illinois,TRUE,42.0700662,-87.8114044
1621,Marc Slutzky,1998,"Evanston, Illinois",1,6900,illinois,,42.0447388,-87.6930459
5536,Mary Beam,2008,"Loves Park, Illinois",1,-4400,illinois,,42.3200189,-89.0581621
7696,Steven Evenhouse,2012,"Orland Hills, Illinois",1,3000,illinois,,41.5853107,-87.8431078
3838,Alex Hovan,2007,"Champaign, Illinois",2,36200,illinois,,40.1164205,-88.2433829
7522,Lanny Timan,2011,"Chicago, Illinois",3,48003,illinois,,41.8755546,-87.6244212
7985,Dan Elg,2012,"Wheaton, Illinois",1,7197,illinois,,41.8639233,-88.1129507
7064,Folake Dosu,2010,"Stanford University from Bellwood, Illinois",1,8700,illinois,TRUE,,
